pair,n,pearson_r,pearson_p,spearman_rho,spearman_p
resid_mu_vs_rho_std,16,-0.263178545002187,0.32470858564040117,-0.0058823529411764705,0.9827505044191351
resid_mu_vs_kappa_l64_std,16,-0.3579058960939816,0.17348351089549288,-0.4323529411764706,0.09442103753478695
resid_mu_vs_kappa_x_rho,16,0.12476191089113671,0.6452492426658424,0.10588235294117648,0.6963341050381157
abs_resid_vs_rho_std,16,-0.5366667196161673,0.03208822822230179,-0.4264705882352941,0.09949911193753966
abs_resid_vs_kappa_x_rho,16,-0.23281836812961268,0.38553368727327236,-0.28529411764705886,0.28413874015956303
