CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_05deg,n_10deg,n_20deg,n_025cdeg,n_300cdeg,n_500cdeg
13370,27.1515,0.3282,0.19846,40.3246,0.238597,39.82085296030183,0.5037470396981689,0.238597,102085,421836,1697362,25026,3812559,10464683
1338266,34.905,-5.8691,0.64846,43.0397,0.272369,42.80703105560486,0.2326689443951437,0.272369,110462,423393,1670209,28672,3806922,10483233
1345582,33.7065,-4.6747,0.45878,41.9679,0.252185,41.90840846046906,0.0594915395309385,0.252185,109179,433721,1749463,27900,3893044,10672075
13727,317.588,0.9326,0.22534,40.1329,0.188923,40.12883086263482,0.0040691373651782,0.188923,125397,481958,1769767,31783,3869812,9950571
13830,351.562,-0.3823,0.32985,40.8444,0.209813,41.07065477922046,-0.2262547792204614,0.209813,110371,431731,1682885,28549,3552369,8441346
140152,162.393,57.6157,0.20864,39.8798,0.15965,39.94179308726686,-0.0619930872668561,0.15965,50033,188703,744502,12101,1678023,4521549
14157,51.1367,1.0224,0.21083,39.806,0.155718,39.96709439044967,-0.1610943904496693,0.155718,58137,238954,845344,14381,1732465,4468009
14437,332.081,-1.1964,0.14792,39.0382,0.157931,39.11880428243464,-0.0806042824346349,0.157931,92846,364123,1499533,22692,3334940,8824053
150254,183.211,47.1458,0.27508,40.5286,0.241865,40.61839770321263,-0.089797703212632,0.241865,46195,191316,770532,12637,1699106,4590520
15440,39.7207,0.0901,0.2613,40.447,0.207526,40.49153620841223,-0.0445362084122251,0.207526,100785,423668,1716929,25036,3850349,10355503
160039,184.975,48.1403,0.27085,40.4887,0.166124,40.58009150712589,-0.0913915071258912,0.166124,52757,201428,754651,12966,1664427,4559407
16093,350.362,1.1325,0.33439,41.1204,0.23572,41.10495892647402,0.0154410735259773,0.23572,104136,404077,1515549,25754,3305925,8428346
16350,323.639,-0.8858,0.23684,40.2279,0.210237,40.25031063580981,-0.0224106358098126,0.210237,138733,501605,1848352,35425,3973069,9869266
17220,9.7015,-0.1792,0.17769,39.3394,0.257355,39.55512407924062,-0.2157240792406227,0.257355,115306,460230,1822468,28622,4065003,10666808
17340,41.2121,0.3648,0.25625,40.3729,0.207312,40.44349349522032,-0.0705934952203151,0.207312,107470,431453,1684074,27530,3721870,9978146
18030,4.933,-0.4001,0.15518,39.3994,0.175858,39.23229835340023,0.1671016465997752,0.175858,106251,424520,1694322,26664,3808001,10532262
18617,345.762,0.8492,0.3257,41.1639,0.271274,41.03891379897301,0.1249862010269851,0.271274,118371,439843,1604762,30193,3371605,8391914
18650,328.447,0.0151,0.11243,38.6214,0.163201,38.47544638911949,0.145953610880511,0.163201,105418,424210,1727333,27131,3686540,9267800
18740,16.8553,1.0437,0.15317,39.0991,0.159928,39.20138166059132,-0.1022816605913234,0.159928,112390,456012,1882128,28514,4050115,10555161
18807,46.6409,0.7933,0.18714,39.7694,0.13671,39.67941821617536,0.0899817838246406,0.13671,61683,252999,1080847,15317,2536394,6913986
18927,46.6825,-0.754,0.21214,39.9374,0.243726,39.9821128492864,-0.0447128492864052,0.243726,64868,248684,1058807,17154,2561924,7500798
18940,10.349,0.412,0.21099,39.9552,0.163264,39.968933331946175,-0.0137333319461774,0.163264,120783,473941,1832192,31059,4051144,10653950
19027,328.884,-0.372,0.29114,40.484,0.219145,40.75904870471513,-0.2750487047151253,0.219145,105057,422568,1686511,26347,3622204,9176566
19207,333.464,-0.9203,0.25721,40.5776,0.249962,40.45269326914142,0.1249067308585765,0.249962,103771,404268,1573547,26431,3456495,8786626
19230,332.891,0.7648,0.22005,39.9228,0.242946,40.07101279796318,-0.1482127979631755,0.242946,123558,474672,1688744,29303,3515694,8747459
1990O,258.901,16.322,0.03093,35.4926,0.166476,35.55373979440757,-0.0611397944075662,0.166476,91038,357229,1449587,22168,3305076,9414358
19940,315.393,-0.2685,0.15591,38.9704,0.179204,39.243434278857805,-0.273034278857807,0.179204,85102,343044,1537893,20778,3551722,9881359
1996bl,9.0749,11.3946,0.03481,35.7348,0.155656,35.81636803549163,-0.0815680354916281,0.155656,52366,231233,911055,13303,2046328,5606378
2000dg,1.5575,8.8882,0.03725,36.0748,0.289284,35.967239448921376,0.1075605510786275,0.289284,52272,207841,882814,13322,2023140,5927582
