CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err
05D2mp,149.786,2.204,0.35527,41.4647,0.223042,41.257386379969596,0.20731362003040488,0.223042
05D3cf,214.223,52.3451,0.41956,41.7981,0.235757,41.679517321147756,0.11858267885224194,0.235757
05D3jb,215.542,52.8781,0.74566,43.1675,0.195179,43.17435896307977,-0.0068589630797717405,0.195179
05D3lr,215.551,53.1843,0.6006,42.6116,0.278838,42.60639158042777,0.005208419572234391,0.278838
05D3mh,214.749,52.6676,0.67065,43.0677,0.274795,42.895318492530166,0.1723815074698365,0.274795
05D3mn,214.689,52.3231,0.76069,43.0667,0.201161,43.22701205278786,-0.16031205278786587,0.201161
05D4ag,333.448,-18.1653,0.63823,42.6594,0.367516,42.76535529798218,-0.1059552979821845,0.367516
05D4bj,333.749,-18.1334,0.69916,42.9402,0.338462,43.004743885610836,-0.06454388561083846,0.338462
05D4ev,333.377,-17.7008,0.72013,43.1612,0.243162,43.08253563256257,0.07866436743743321,0.243162
05D4ff,334.084,-18.0426,0.40048,41.4918,0.158339,41.56087674537349,-0.06907674537349351,0.158339
06D3bz,214.292,53.0248,0.72767,43.008,0.257091,43.10997610539723,-0.10197610539722746,0.257091
06D3do,214.247,52.8825,0.72667,43.0811,0.248363,43.10635253857959,-0.02525253857959342,0.248363
06D3et,215.52,52.3384,0.57661,42.4263,0.166843,42.50004607837036,-0.07374607837036251,0.166843
06D3fp,215.077,52.8972,0.26848,40.4553,0.240404,40.55838711729739,-0.10308711729739173,0.240404
090201,353.328,-0.9507,0.50817,42.0193,0.184312,42.171990754748165,-0.15269075474816418,0.184312
091869,351.908,-1.7625,0.28843,40.7458,0.165419,40.73582531589023,0.009974684109771204,0.165419
100090,131.828,43.4081,0.17282,39.7263,0.252568,39.488649216126575,0.23765078387342697,0.252568
100101,132.141,43.9852,0.42967,41.9219,0.19807,41.74036552575,0.18153447425000024,0.19807
100358,352.444,0.5905,0.36613,41.136,0.226225,41.33342036919453,-0.19742036919452488,0.226225
10550,349.675,-1.2049,0.29923,41.0113,0.341681,40.82720813664015,0.1840918633598463,0.341681
110426,130.013,44.8943,0.54089,42.2791,0.233447,42.333697776014866,-0.05459777601486593,0.233447
110716,128.986,43.4945,0.31577,41.2033,0.233304,40.961422221859536,0.24187777814046285,0.233304
120094,150.526,2.0878,0.45169,41.9923,0.154715,41.86841475863869,0.12388524136130741,0.154715
120143,163.682,58.6266,0.1736,39.3493,0.151501,39.499412438629456,-0.15011243862945634,0.151501
1258940,42.7148,-0.5251,0.42594,41.7517,0.175449,41.71807251599999,0.03362748400000726,0.175449
1259412,36.3454,-5.3241,0.30477,40.9018,0.140115,40.87290907679695,0.028890923203050534,0.140115
1261579,36.1196,-4.9673,0.32214,40.8774,0.138773,41.011386356314574,-0.13398635631457267,0.138773
1263369,43.2295,-0.5418,0.31252,40.9565,0.149709,40.935570731084006,0.02092926891599234,0.149709
1279500,36.9257,-4.3149,0.23471,40.2784,0.167703,40.22822806175505,0.05017193824495081,0.167703
1283878,37.1332,-4.0413,0.31287,41.0195,0.203499,40.93836663160134,0.08113336839866037,0.203499
12860,323.694,1.1759,0.12042,38.7926,0.252257,38.635465715378324,0.15713428462167656,0.252257
1287626,35.9318,-5.9612,0.30396,40.719,0.22209,40.86627526769084,-0.1472752676908371,0.22209
1289664,40.8968,-1.1299,0.25908,40.2879,0.178603,40.47052299229657,-0.1826229922965723,0.178603
12927,41.7861,0.7751,0.18892,39.4384,0.149571,39.702175504637715,-0.2637755046377137,0.149571
12950,351.667,-0.8403,0.08141,37.7215,0.219648,37.73073694675067,-0.009236946750668551,0.219648
1295305,36.2434,-4.2509,0.61171,42.701,0.16444,42.65428566864381,0.04671433135619196,0.16444
1295921,42.6149,-0.8718,0.52393,42.1774,0.369236,42.25106209606014,-0.07366209606013996,0.369236
