feature,observed_r,boot_mean,boot_median,ci2_5,ci97_5,n_boot
rho_100_std,-0.22379182713038442,-0.2214504064668173,-0.2223245512399876,-0.42075239381578217,-0.02425379329165113,2000
abs_full_grad,0.22663465361497143,0.22084789717753228,0.21972034806407076,0.02271910611524309,0.41073829994171895,2000
best_window_abs_grad,0.22088339917612826,0.22160526992146232,0.22208383058082892,0.02712937299939332,0.4319330201956623,2000
multiscale_var,0.19549486446772607,0.1930780664881564,0.1953379009297077,0.03383686145181171,0.3487109951854765,2000
neighbor_log_rho_std,0.2803534472422375,0.2755787879580396,0.28008045720785546,0.07791529834338136,0.45600201957436687,2000
abs_own_minus_neighbor,0.26195820164867656,0.2637343190354134,0.2625369005380693,0.07962875251501379,0.4444204511349563,2000
neighbor_high_low_pairs,0.2762533149172279,0.26089575951240024,0.264580092730091,0.057616386244591075,0.45473658946631684,2000
corridor_betweenness,-0.029674162380501547,-0.02404501961423405,-0.033103920965240285,-0.23026050738211415,0.265024352172119,2000
graph_neck_score,0.26728010629374355,0.25959847691848476,0.2648857814944421,0.03843111570593808,0.454723047415078,2000
