CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_025cdeg,n_050cdeg,n_100cdeg,n_200cdeg,n_300cdeg,n_500cdeg
050607,213.514,53.3622,0.43926,41.8262,0.202784,41.79686616687528,0.0293338331247241,0.202784,11242,44145,177019,743934,1633685,4574996
05D1cb,36.7377,-4.1176,0.63071,42.6632,0.202856,42.73431252251416,-0.0711125225141557,0.202856,26515,105929,425401,1681449,3802339,10583678
05D1ee,36.1948,-4.0005,0.55775,42.4389,0.195189,42.41346531451403,0.025434685485969,0.195189,27814,109264,436384,1688138,3828830,10621613
05D1hm,36.9426,-4.7173,0.58575,42.707,0.37297,42.5410476974579,0.1659523025421023,0.37297,25647,102940,420106,1709987,3784443,10510591
05D1ix,36.0832,-4.67,0.48881,42.0842,0.199732,42.07165072364906,0.0125492763509456,0.199732,26876,107109,427471,1708747,3816608,10535398
05D1ke,36.6929,-4.8625,0.68867,42.8137,0.226508,42.96498658679509,-0.151286586795095,0.226508,26935,104564,418113,1719492,3786268,10495316
05D2ac,149.747,2.4895,0.48071,41.9748,0.139221,42.02856228366798,-0.0537622836679787,0.139221,17004,67448,265716,1010754,2267851,6342880
05D2bt,150.418,2.5662,0.68195,42.8376,0.239367,42.93921201426994,-0.1016120142699392,0.239367,17867,71237,264931,1002973,2269500,6307708
05D2bv,150.571,2.2406,0.47572,41.938,0.177112,42.00167869693727,-0.0636786969372664,0.177112,18564,70221,264545,1010183,2263181,6326678
05D2cb,149.852,2.3282,0.42865,41.8825,0.403543,41.73428724024453,0.1482127597554736,0.403543,19596,68966,268124,1011141,2258503,6345925
05D2dw,149.634,2.0322,0.41864,41.6174,0.202099,41.673912761206495,-0.0565127612064912,0.202099,16389,67582,267786,1019690,2257660,6353568
05D2dy,150.242,2.1831,0.51175,42.3885,0.227281,42.19015224410255,0.1983477558974513,0.227281,19082,72461,268838,1008161,2258105,6343724
05D2ec,149.859,2.0136,0.6419,42.8476,0.256941,42.780379072206586,0.0672209277934143,0.256941,16152,68118,269976,1013786,2260165,6351110
05D2hc,150.019,1.886,0.35157,41.4798,0.209505,41.230990084835824,0.2488099151641734,0.209505,15638,68027,271016,1010720,2261290,6354284
05D2he,150.361,2.3177,0.60987,42.6876,0.321483,42.64641086924567,0.0411891307543328,0.321483,19185,72818,267281,1006542,2258961,6331340
05D2mp,149.786,2.204,0.35527,41.4647,0.223042,41.2573863799696,0.2073136200304048,0.223042,18567,68042,268370,1015089,2256575,6348537
05D3cf,214.223,52.3451,0.41956,41.7981,0.235757,41.67951732114776,0.1185826788522419,0.235757,12282,46932,184027,717571,1623891,4563661
05D3jb,215.542,52.8781,0.74566,43.1675,0.195179,43.17435896307977,-0.0068589630797717,0.195179,10677,43331,176303,709553,1643217,4607165
05D3lr,215.551,53.1843,0.6006,42.6116,0.278838,42.60639158042777,0.0052084195722343,0.278838,10973,43589,174153,712207,1648963,4614629
05D3mh,214.749,52.6676,0.67065,43.0677,0.274795,42.895318492530166,0.1723815074698365,0.274795,10730,44335,180684,711216,1633053,4583207
05D3mn,214.689,52.3231,0.76069,43.0667,0.201161,43.22701205278786,-0.1603120527878658,0.201161,11719,46501,181507,713195,1619948,4570446
05D4ag,333.448,-18.1653,0.63823,42.6594,0.367516,42.76535529798218,-0.1059552979821845,0.367516,0,0,0,0,0,655151
05D4bj,333.749,-18.1334,0.69916,42.9402,0.338462,43.00474388561084,-0.0645438856108384,0.338462,0,0,0,0,0,670958
05D4ev,333.377,-17.7008,0.72013,43.1612,0.243162,43.08253563256257,0.0786643674374332,0.243162,0,0,0,0,8839,956380
