CID,RA,DEC,zCMB,resid_mu,kappa_l64_std,count_1deg,rho_std,kappa_x_rho,abs_resid,low_density_tail,high_density_bulk
1306029,40.8416,-1.9578,0.42895,0.067707511678158,0.0706840841784535,424564,1.3093651287828791,0.09255127498322063,0.067707511678158,0,1
160197,241.617,53.8718,0.35361,0.0992428873412478,-1.8186693385256028,203913,-0.6354760774911019,1.155720857499587,0.0992428873412478,1,0
2002de,244.127,35.7084,0.0305,-0.1704085442329983,3.679744904916459,207012,-0.6081611643556841,-2.2378779459058897,0.1704085442329983,1,0
2003ic,10.4593,-9.3053,0.05196,-0.3315300335473594,-0.0064877563531072,254648,-0.18829243182300875,0.0012215954208017292,0.3315300335473594,0,0
2006ef,31.0813,-8.7284,0.01694,0.125429920679096,-0.1618680248441168,418465,1.2556078989626425,-0.2032427705837543,0.125429920679096,0,0
2007ca,202.774,-15.1018,0.01509,0.3551460728658639,0.123471993468488,0,-2.4327867848749176,-0.30038103401229976,0.3551460728658639,1,0
2008hv,136.892,3.3923,0.0136,0.0437164310574544,-0.0242116602624168,267306,-0.07672348362419681,0.001857602919658152,0.0437164310574544,0,0
2009D,58.5951,-19.1817,0.02476,-0.0643275316664073,1.587378137748924,441740,1.460756205909028,2.3187724658410565,0.0643275316664073,0,1
2013bs,259.342,41.0667,0.02859,0.0197509762652003,0.9694966347940172,232483,-0.3836570815960113,-0.3719542495222266,0.0197509762652003,0,0
2943,17.7049,1.0079,0.26405,-0.0283857672551519,0.0507577524576648,451653,1.5481304343412308,0.07857962135846927,0.0283857672551519,0,1
350192,148.716,1.9617,0.3015,-0.0070100162407484,-0.3504619257584042,254359,-0.19083970833031297,0.06688205169261364,0.0070100162407484,0,0
AT2016ews,225.652,23.3528,0.04612,0.0827743912289165,-1.817831575244763,255608,-0.17983089048386675,0.3269022709259559,0.0827743912289165,0,0
PS16bnz,155.154,-2.4668,0.06398,-0.1160995974806198,0.5212780149789489,245902,-0.26538059906481704,-0.13833707189443212,0.1160995974806198,0,0
PS17bii,171.409,7.3336,0.07467,-0.096111848242522,0.1519647507294098,244083,-0.28141345708137877,-0.042764925857273185,0.096111848242522,0,0
PTSS17-niq,215.069,15.3417,0.0691,-0.0878641925556493,-0.5407155240079224,244644,-0.2764687438613177,0.1494909417087845,0.0878641925556493,0,0
SN2017hn,196.914,6.3376,0.02492,-0.0244702840565125,0.9629447898679768,269790,-0.05482924540916689,-0.05279753619914994,0.0244702840565125,0,0
