CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err
18030,4.933,-0.4001,0.15518,39.3994,0.175858,39.232298353400225,0.16710164659977522,0.175858
18617,345.762,0.8492,0.3257,41.1639,0.271274,41.03891379897301,0.1249862010269851,0.271274
18650,328.447,0.0151,0.11243,38.6214,0.163201,38.47544638911949,0.14595361088051106,0.163201
18740,16.8553,1.0437,0.15317,39.0991,0.159928,39.20138166059132,-0.10228166059132349,0.159928
18807,46.6409,0.7933,0.18714,39.7694,0.13671,39.67941821617536,0.08998178382464062,0.13671
18927,46.6825,-0.754,0.21214,39.9374,0.243726,39.9821128492864,-0.04471284928640529,0.243726
18940,10.349,0.412,0.21099,39.9552,0.163264,39.968933331946175,-0.01373333194617743,0.163264
19027,328.884,-0.372,0.29114,40.484,0.219145,40.75904870471513,-0.2750487047151253,0.219145
19207,333.464,-0.9203,0.25721,40.5776,0.249962,40.45269326914142,0.12490673085857651,0.249962
19230,332.891,0.7648,0.22005,39.9228,0.242946,40.07101279796318,-0.14821279796317555,0.242946
1990O,258.901,16.322,0.03093,35.4926,0.166476,35.55373979440757,-0.06113979440756623,0.166476
19940,315.393,-0.2685,0.15591,38.9704,0.179204,39.243434278857805,-0.27303427885780707,0.179204
1996bl,9.0749,11.3946,0.03481,35.7348,0.155656,35.81636803549163,-0.08156803549162817,0.155656
2000dg,1.5575,8.8882,0.03725,36.0748,0.289284,35.967239448921376,0.1075605510786275,0.289284
2000dk,16.848,32.4064,0.01649,34.1436,0.28269,34.16527333072595,-0.02167333072595312,0.28269
2000dm,274.746,16.2482,0.01472,34.0109,0.270222,33.91589604458839,0.095003955411606,0.270222
2001br,277.607,34.1036,0.02046,34.8118,0.300223,34.639980330515435,0.17181966948456306,0.300223
2002de,244.127,35.7084,0.0305,35.3638,0.283742,35.52267142458615,-0.15887142458615244,0.283742
2002jy,20.3178,40.4987,0.0187,34.9988,0.187715,34.441879852468034,0.5569201475319687,0.187715
2003kc,146.643,30.6553,0.0341,35.8566,0.205773,35.770523081693135,0.08607691830686548,0.205773
20040,328.879,0.8151,0.28655,40.6389,0.217509,40.71959602270656,-0.08069602270656162,0.217509
2004br,187.783,0.6132,0.02426,34.807,0.18246,35.01588403420042,-0.20888403420041612,0.18246
2004gs,129.597,17.6277,0.02829,35.5996,0.235009,35.35589709211966,0.24370290788034055,0.235009
2004gu,191.603,11.9489,0.0467,36.4713,0.19409,36.47262618018118,-0.0013261801811808027,0.19409
2005de,270.597,26.0521,0.01495,34.1793,0.26677,33.949928923674754,0.22937107632524345,0.26677
2005kc,338.531,5.5684,0.01386,34.0187,0.307194,33.78380361956941,0.23489638043059102,0.307194
2006ev,322.747,13.9892,0.02759,35.6739,0.216353,35.300398912812724,0.3735010871872788,0.216353
2006qo,120.035,56.3688,0.02871,35.4779,0.275376,35.388552930960714,0.08934706903928458,0.275376
2008050,204.198,5.1418,0.04627,36.2636,0.218105,36.45188692693954,-0.18828692693953997,0.218105
2008051,229.995,4.9046,0.03835,36.0125,0.17035,36.03212555178247,-0.019625551782468165,0.17035
2008bf,181.012,20.2452,0.02451,35.1061,0.235556,35.038538686073416,0.06756131392658205,0.235556
2008gg,21.346,-18.1724,0.03107,35.67,0.236835,35.56376384482163,0.10623615517837237,0.236835
2009D,58.5951,-19.1817,0.02476,35.008,0.162015,35.06096726178399,-0.05296726178399069,0.162015
2009dc,237.801,25.7078,0.02179,34.3468,0.19901,34.77883449732403,-0.4320344973240253,0.19901
2009na,161.756,26.5439,0.02209,34.7477,0.199095,34.80899916138554,-0.06129916138554137,0.199095
2010Y,162.766,65.7797,0.01142,33.7403,0.254135,33.35942260335601,0.3808773966439887,0.254135
2010ag,255.973,31.5017,0.03336,35.8159,0.198961,35.72173707667897,0.09416292332102927,0.198961
2010kg,70.035,7.35,0.01595,33.9999,0.334729,34.09211606894792,-0.0922160689479199,0.334729
2013ex,83.1942,-14.0459,0.01096,33.4336,0.283424,33.26940885919768,0.16419114080231623,0.283424
2013gq,124.473,23.4696,0.01457,33.7526,0.2163,33.893416011254246,-0.1408160112542447,0.2163
2013gs,142.787,46.3848,0.01748,34.2221,0.320412,34.29344730935766,-0.07134730935766243,0.320412
2014bj,290.663,43.8908,0.04239,36.5106,0.426487,36.255801199427964,0.25479880057203275,0.426487
2016hpw,317.283,-18.1039,0.02019,34.8165,0.241825,34.6107077262156,0.20579227378439668,0.241825
20227,349.12,-0.0985,0.27574,40.6631,0.213576,40.624325462366414,0.03877453763358574,0.213576
20430,312.417,0.4686,0.16593,39.4938,0.241887,39.391559113533674,0.10224088646632623,0.241887
300105,351.71,-0.7301,0.09181,38.1602,0.266341,38.00666607780474,0.1535339221952654,0.266341
310039,36.2156,-3.3448,0.17156,39.4603,0.214715,39.47116657015734,-0.01086657015734005,0.214715
350235,184.35,48.3462,0.26384,40.5588,0.167704,40.51537712415737,0.04342287584263005,0.167704
360139,185.739,47.5675,0.38594,41.5217,0.152114,41.46689214696262,0.05480785303738145,0.152114
360156,150.807,1.8953,0.04673,36.5081,0.209562,36.47406617947381,0.034033820526190084,0.209562
420352,35.1822,-3.9625,0.38886,41.383,0.199578,41.4860269789141,-0.10302697891409451,0.199578
430003,333.38,-0.4529,0.32843,40.934,0.295651,41.059835727998866,-0.12583572799886866,0.295651
450339,36.2874,-3.3534,0.40927,41.7061,0.274957,41.61617084497699,0.08992915502300747,0.274957
460003,128.835,43.8555,0.15067,39.1687,0.134119,39.16239469709275,0.006305302907250621,0.134119
460105,129.37,44.0453,0.21071,39.9632,0.223017,39.96571433587724,-0.0025143358772368174,0.223017
490007,184.268,46.6275,0.05513,36.8676,0.194374,36.8456865921438,0.02191340785620355,0.194374
500301,215.548,52.6318,0.3255,41.2625,0.255286,41.0373746970852,0.2251253029148046,0.255286
510550,243.275,55.6117,0.24106,40.3291,0.130654,40.2935242729349,0.03557572706509404,0.130654
520071,215.504,53.6193,0.41152,41.8131,0.149106,41.630147425508014,0.18295257449198488,0.149106
550137,334.754,0.0297,0.41931,41.4604,0.22264,41.67799547329698,-0.21759547329698137,0.22264
550154,36.3556,-3.5962,0.21003,40.1479,0.148877,39.95788024910866,0.19001975089133794,0.148877
560054,353.296,-0.3364,0.4798,41.8956,0.237796,42.023679160611906,-0.12807916061190383,0.237796
560150,333.961,1.2276,0.19957,39.8965,0.17155,39.83431581805524,0.06218418194476527,0.17155
560152,334.8,1.1602,0.24851,40.3657,0.261564,40.3681352973562,-0.0024352973562002944,0.261564
570056,37.0067,-3.495,0.28998,40.7298,0.234493,40.74913259073442,-0.01933259073442173,0.234493
580235,150.235,2.5796,0.33154,41.0301,0.218692,41.08347504960542,-0.053375049605421054,0.218692
590005,151.018,1.2155,0.17137,39.5424,0.275502,39.46851993198311,0.07388006801689073,0.275502
744,329.198,0.3175,0.12694,38.6849,0.280884,38.75879710381835,-0.07389710381835357,0.280884
762,15.5353,-0.879,0.19009,39.8807,0.15799,39.71702574182423,0.1636742581757673,0.15799
ASASSN-15fs,284.67,43.4689,0.0285,35.2391,0.185823,35.37228401351213,-0.13318401351212827,0.185823
ASASSN-15nr,261.674,13.9098,0.02309,34.8331,0.263771,34.9067128201049,-0.07361282010489845,0.263771
ASASSN-15tg,5.171,25.229,0.03445,35.861,0.1686,35.7932381069475,0.06776189305249858,0.1686
ASASSN-16aj,65.4509,-15.7554,0.03053,35.4654,0.177866,35.52485286570077,-0.05945286570077002,0.177866
ASASSN-16av,177.868,22.0261,0.02676,35.3467,0.289875,35.23277472695856,0.1139252730414384,0.289875
ASASSN-16br,236.376,-13.1528,0.029,35.5064,0.190895,35.41082871127588,0.09557128872411624,0.190895
ASASSN-16ct,228.476,4.7573,0.04252,36.2457,0.207056,36.2626488099897,-0.016948809989699498,0.207056
ASASSN-16fo,203.149,-5.2725,0.02994,35.4803,0.173804,35.48156064914126,-0.001260649141258341,0.173804
AT2017lm,45.3849,-15.016,0.03002,35.5542,0.216273,35.48747951914553,0.06672048085447102,0.216273
AT2017po,240.965,39.9901,0.03201,35.576,0.196814,35.62994434254625,-0.053944342546252244,0.196814
ATLAS16bwu,18.5927,-13.1531,0.07074,37.3712,0.228257,37.41018140171683,-0.03898140171682485,0.228257
ATLAS16cpu,227.956,46.251,0.01851,34.5716,0.239989,34.41940331720228,0.15219668279771525,0.239989
ATLAS17bas,166.898,22.8514,0.02331,34.5715,0.261746,34.9276501703622,-0.35615017036219854,0.261746
Gaia16aki,239.794,14.6416,0.07398,37.5535,0.176502,37.51215778881543,0.04134221118457049,0.176502
PS15ahs,269.874,43.3901,0.02522,35.1974,0.185937,35.10166023631452,0.09573976368547932,0.185937
PS15asb,215.085,-9.3009,0.04952,36.4714,0.18553,36.604212775875894,-0.13281277587589102,0.18553
PS15bsq,355.467,-8.6379,0.03309,35.7797,0.159699,35.70367286331549,0.07602713668450889,0.159699
PS15cku,21.0939,3.5876,0.02222,35.0537,0.229702,34.82194542409553,0.23175457590446769,0.229702
PS16ayd,216.826,-1.6753,0.05485,36.8581,0.149593,36.83421035945601,0.023889640543991675,0.149593
PS16dnp,344.915,2.1498,0.04998,36.8583,0.163226,36.62498532069562,0.2333146793043781,0.163226
PS17bii,171.409,7.3336,0.07467,37.4501,0.192118,37.53332131387807,-0.08322131387807019,0.192118
PSNJ1602512,240.714,47.2248,0.02039,34.556,0.333904,34.63242787128218,-0.07642787128218487,0.333904
SCP05D0,35.4253,-3.3648,1.01236,44.1177,0.367085,43.98437482555363,0.1333251744463695,0.367085
SN2016ajf,49.9771,41.565,0.01978,34.7627,0.339971,34.56551026667485,0.19718973332515333,0.339971
SN2016glp,354.058,23.696,0.08366,37.9686,0.221594,37.7931733593061,0.17542664069389957,0.221594
SN2017jl,14.3829,30.1852,0.01529,33.7706,0.30219,33.99930114641883,-0.22870114641882822,0.30219
carter,150.061,2.1924,1.54295,45.0902,0.371014,45.104351131748075,-0.014151131748072032,0.371014
iPTF17dz,126.107,24.9978,0.09284,38.2226,0.493293,38.032352010055774,0.19024798994422554,0.493293
